code,num
C1072,692.2811426261391
C1128,1163.592953206674
C1456,614.2635571830244
C1840,529.3094620098541
C1332,1086.0195081847962
C1563,1588.0878693842562
C1794,909.4097639721298
C1640,406.3979717723347
C1377,310.3584193858023
C2072,265.8401554867779
C1472,459.24359064764195
C1006,193.1429730942325
C1083,477.12376925677336
C1311,406.9582630131729
C2676,136.826580248493
C2318,373.3507809384056
C1603,568.3901018819138
C2523,406.13732898227346
C2177,110.55011212535224
C2411,666.3872300460567
C2033,197.73356988984065
C1604,442.1648364304132
C2535,479.7172141645506
C1040,487.45901429078526
C2417,467.1848555542624
C1812,41.21609056780661
C2253,108.3511852283344
C1294,495.9963915927881
C1772,551.8714532958688
C2646,459.0245269882909
C1152,928.2566808952657
C2423,243.0293239749954
C1844,547.8533547649213
C1318,391.53229160085874
C1729,130.58811967277455
C1602,344.8603319545289
C1239,483.1506653428882
C1721,580.7437212174754
C1902,791.5184757772298
C1855,323.25579915735517
C2600,450.2545027228787
C1071,367.92570035150936
C2295,275.2920461637625
C1621,616.5531287468535
C1852,1024.9029771137218
C2555,1048.3435661698848
C1297,475.82469219793893
C2323,539.887227655651
C2215,353.82574010137114
C2112,328.55583086683595
C1830,788.1887697251784
C2602,288.92405369547373
C2608,996.2559337484233
C1215,665.4872083029776
C2369,543.2207554372485
C1158,228.1508936233787
C1887,549.0258286150157
C1189,333.2181328570099
C1637,414.07223831465234
C1225,232.4811126976352
C2374,371.97920123400223
C2397,582.4159194941121
C1105,913.8998790418152
C1782,384.53299691737476
C1629,205.21191990701843
C1708,347.23049761335204
C2144,515.2361088797066
C1617,973.8425015360823
C1149,528.1196263173881
C1323,449.57996440234183
C1064,621.8931745716178
C1019,300.76425567450036
C2269,587.7406190634912
C1416,830.9419765902518
C1250,962.9476399962374
C1741,524.2777004518546
C1016,703.9458645559821
C2436,666.3514368653249
C2039,874.8117764181278
C1253,771.5509707410873
C2028,1134.3757250400595
C1166,277.4874708319358
C1135,301.34816199741533
C1216,285.4024025845358
C1593,310.73794389201703
C1826,196.32805265673304
C1827,323.96165108384287
C1564,307.8602368176984
C1495,905.9257319001517
C2653,788.9190920705757
C1392,549.8591352945404
C2128,308.090880299031
C1282,629.8354545488763
C1521,1115.270881686735
C2076,985.2358454686997
C1060,680.0114083433983
C2473,1071.7016783701754
C2557,701.6756249816925
C1835,799.0344416654785
C2224,744.4949971000408
C2222,308.9135935593127
C2430,776.4317850819258
C2497,689.8449292238239
C1494,1013.8553017991495
C1457,684.3448411515938
C1525,1151.3889776160868
C1712,550.8992341165755
C2267,960.2363400873894
C1623,233.23170409287331
C2131,570.4591133799222
C2691,1135.4516979414714
C1147,938.3442459545973
C1692,1023.3621899321249
C1570,816.7045144554929
C1474,224.97964131729137
C1633,203.02207814877883
C2113,518.4849081134188
C2175,923.7514536791813
C2303,1312.6121787962115
C2547,585.2794476988171
C2292,833.7215547543426
C1496,795.1748561653599
C1289,389.31273839544235
C1849,762.9653116475932
C1003,214.02549627338928
C2268,349.1428465791496
C2551,636.5352899917972
C2688,187.92650512807836
C1030,119.04766741740264
C2451,718.389041038267
C1749,519.0028246829222
C1349,256.4309788000247
C2043,248.72462494865016
C1229,266.80572596863715
C2363,430.77197976573683
C1414,464.84098308408977
C2174,462.92385204945685
C2091,185.0066972510079
C1841,82.70441049674423
C2404,149.0141889649901
C1683,230.55822064916094
C1038,224.17966065879386
C2456,266.6123452412509
C1266,479.3144652664015
C2152,-7.254972674979285
C1267,236.7924157916268
C2189,110.52900551253302
C2675,0.0
C2335,0.0
C1327,0.0
